,ID,Age,Location,Lines,X1st_Quarter_2019_24_Hour_Availability_,X1st_Quarter_2019_24_Hour_Availability_AM_Peak,X1st_Quarter_2019_24_Hour_Availability_PM_Peak,Non_Scheduled_Outages,Scheduled_Outages,Entrapments,Owner,s
1,EL182,12,Gun Hill Rd,25,89.02%,85.90%,91.97%,14,14,4,MTA,2
2,EL182,12,Gun Hill Rd,25,89.02%,85.90%,91.97%,14,14,4,MTA,5
3,EL129,22,3 Av-149 St,25,91.33%,89.43%,94.44%,3,20,1,MTA,2
4,EL129,22,3 Av-149 St,25,91.33%,89.43%,94.44%,3,20,1,MTA,5
5,EL189,4,Kingsbridge Rd,BD,91.52%,86.14%,96.36%,16,16,2,MTA,B
6,EL189,4,Kingsbridge Rd,BD,91.52%,86.14%,96.36%,16,16,2,MTA,D
7,EL192,11,233 St,25,94.32%,93.36%,94.77%,10,10,4,MTA,2
8,EL192,11,233 St,25,94.32%,93.36%,94.77%,10,10,4,MTA,5
9,EL121,3,Pelham Bay Park,6,95.62%,98.73%,95.42%,18,7,7,MTA,6
10,EL127,2,Simpson St,25,95.65%,97.92%,97.44%,13,4,2,MTA,2
11,EL127,2,Simpson St,25,95.65%,97.92%,97.44%,13,4,2,MTA,5
12,EL128,2,Simpson St,25,96.32%,98.20%,96.56%,13,4,2,MTA,2
13,EL128,2,Simpson St,25,96.32%,98.20%,96.56%,13,4,2,MTA,5
14,EL160,6,180 St,25,96.76%,97.86%,97.52%,4,3,2,MTA,2
15,EL160,6,180 St,25,96.76%,97.86%,97.52%,4,3,2,MTA,5
16,EL188,13,Fordham Rd,4,97.01%,95.42%,98.26%,11,3,0,MTA,4
17,EL122,3,Pelham Bay Park,6,97.35%,97.82%,98.36%,3,8,1,MTA,6
18,EL133,17,161 St-Yankee Stadium,4,97.36%,98.93%,97.17%,8,5,3,MTA,4
19,EL135,17,161 St-Yankee Stadium,BD,97.37%,97.43%,97.96%,1,5,0,MTA,B
20,EL135,17,161 St-Yankee Stadium,BD,97.37%,97.43%,97.96%,1,5,0,MTA,D
21,EL183,12,Gun Hill Rd,25,97.38%,98.55%,97.25%,6,7,3,MTA,2
