EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL121,3,Pelham Bay Park - 6 Line(s),96.21 %,97.15 %,100.00 %,7,4,3,1
EL122,3,Pelham Bay Park - 6 Line(s),98.03 %,99.65 %,98.56 %,4,2,2,1
EL123,30,175 St - A Line(s),84.51 %,75.82 %,93.85 %,18,2,16,1
EL124,30,175 St - A Line(s),92.38 %,86.98 %,100.00 %,9,2,7,0
EL125,3,125 St - 4/5/6 Line(s),96.29 %,100.00 %,95.98 %,4,0,4,1
EL126,3,125 St - 4/5/6 Line(s),89.36 %,89.48 %,93.33 %,5,1,4,0
EL127,3,Simpson St - 2/5 Line(s),99.30 %,100.00 %,100.00 %,2,0,2,0
EL128,3,Simpson St - 2/5 Line(s),98.60 %,100.00 %,98.81 %,4,0,4,1
EL129,22,149 St - 3 Av - 2/5 Line(s),97.62 %,97.64 %,97.43 %,3,0,3,1
EL130,22,149 St - 3 Av - 2/5 Line(s),86.11 %,82.32 %,87.34 %,14,2,12,2
EL131,17,161 St - Yankee Stadium - 4/B/D Line(s),98.55 %,100.00 %,100.00 %,4,2,2,0
EL132,17,161 St - Yankee Stadium - 4/B/D Line(s),96.95 %,100.00 %,93.71 %,4,2,2,1
EL133,17,161 St - Yankee Stadium - 4/B/D Line(s),95.44 %,95.78 %,96.67 %,4,1,3,0
EL134,17,161 St - Yankee Stadium - 4/B/D Line(s),99.23 %,99.93 %,100.00 %,2,1,1,0
EL135,17,161 St - Yankee Stadium - 4/B/D Line(s),98.45 %,100.00 %,96.67 %,3,1,2,0
EL136,12,Pelham Pkwy - 2/5 Line(s),97.74 %,100.00 %,97.65 %,2,0,2,0
EL137,12,Pelham Pkwy - 2/5 Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL138,12,Pelham Pkwy - 2/5 Line(s),98.62 %,100.00 %,100.00 %,2,2,0,0
EL139,12,168 St - Washington Hts - 1/A/C Line(s),97.95 %,97.29 %,100.00 %,4,1,3,0
EL140,12,168 St - Washington Hts - 1/A/C Line(s),98.69 %,100.00 %,100.00 %,3,2,1,0
EL141,12,168 St - Washington Hts - 1/A/C Line(s),99.27 %,100.00 %,100.00 %,1,1,0,0
EL142,14,125 St - A/B/C/D Line(s),99.06 %,100.00 %,100.00 %,1,0,1,1
EL143,14,125 St - A/B/C/D Line(s),98.27 %,96.88 %,100.00 %,2,1,1,0
EL144,14,125 St - A/B/C/D Line(s),100.00 %,100.00 %,100.00 %,1,0,1,0
EL145,9,96 St - 1/2/3 Line(s),100.00 %,100.00 %,100.00 %,2,0,2,0
EL146,9,96 St - 1/2/3 Line(s),96.68 %,100.00 %,99.31 %,6,1,5,1
EL148,20,207 St - Inwood - A Line(s),93.73 %,96.67 %,92.29 %,5,1,4,0
EL149,20,207 St - Inwood - A Line(s),99.27 %,100.00 %,100.00 %,1,1,0,0
EL159,7,East 180 St - 2/5 Line(s),100.00 %,100.00 %,100.00 %,3,0,3,0
EL160,7,East 180 St - 2/5 Line(s),98.40 %,100.00 %,96.67 %,4,0,4,0
EL178,6,Dyckman St - 1 Line(s),98.83 %,97.00 %,100.00 %,3,1,2,0
EL180,11,135 St - 2/3 Line(s),99.39 %,100.00 %,100.00 %,1,1,0,0
EL181,11,135 St - 2/3 Line(s),98.00 %,100.00 %,98.96 %,4,1,3,0
EL182,12,Gun Hill Rd - 2/5 Line(s),99.11 %,100.00 %,100.00 %,3,1,2,0
EL183,12,Gun Hill Rd - 2/5 Line(s),93.34 %,87.77 %,96.67 %,7,2,5,2
EL184,13,231 St - 1 Line(s),98.32 %,99.86 %,100.00 %,3,2,1,0
EL185,13,231 St - 1 Line(s),98.66 %,100.00 %,100.00 %,2,2,0,0
EL186,14,Fordham Rd - 4 Line(s),99.82 %,100.00 %,100.00 %,1,1,0,0
EL187,14,Fordham Rd - 4 Line(s),98.59 %,97.27 %,100.00 %,3,1,2,0
EL188,14,Fordham Rd - 4 Line(s),99.30 %,100.00 %,98.19 %,2,1,1,1
EL189,5,Kingsbridge Road - D/B Line(s),90.32 %,93.92 %,92.71 %,7,1,6,0
EL18X,,Cortlandt St - R/W Line(s),91.07 %,91.18 %,90.63 %,,,,
EL190,5,Kingsbridge Road - D/B Line(s),99.73 %,98.38 %,100.00 %,1,0,1,0
EL191,5,Kingsbridge Road - D/B Line(s),99.07 %,98.19 %,100.00 %,2,0,2,0
EL192,12,233 St - 2/5 Line(s),92.03 %,97.10 %,92.35 %,10,2,8,2
EL193,12,233 St - 2/5 Line(s),98.15 %,100.00 %,97.92 %,3,1,2,1
EL194,12,233 St - 2/5 Line(s),97.60 %,96.67 %,99.15 %,2,0,2,0
EL195,5,Hunts Point - 6 Line(s),97.40 %,96.67 %,100.00 %,4,2,2,0
EL196,5,Hunts Point - 6 Line(s),99.68 %,100.00 %,100.00 %,2,1,1,0
EL197,5,Hunts Point - 6 Line(s),98.17 %,95.63 %,100.00 %,3,1,2,0
EL201,2,Lexington Av / 51 St - E/M/6 Line(s),99.53 %,100.00 %,99.58 %,1,0,1,0
EL202,2,Lexington Av / 51 St - E/M/6 Line(s),99.10 %,97.98 %,100.00 %,2,0,2,0
EL203X,,Lexington Av / 51 St - E/M/6 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL204,29,42 St - Grand Central - 4/5/6/7/S Line(s),46.11 %,55.23 %,44.59 %,24,0,24,0
EL205,29,42 St - Grand Central - 4/5/6/7/S Line(s),87.70 %,79.83 %,95.60 %,14,0,14,1
EL206,29,42 St - Grand Central - 4/5/6/7/S Line(s),98.51 %,100.00 %,96.88 %,3,1,2,1
EL207X,,50 St - C/E Line(s),96.96 %,97.11 %,98.19 %,,,,
EL208X,,50 St - C/E Line(s),98.58 %,97.23 %,100.00 %,,,,
EL209,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),99.67 %,100.00 %,100.00 %,2,1,1,0
EL210,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),96.95 %,100.00 %,96.67 %,3,2,1,1
EL211,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),99.20 %,99.32 %,100.00 %,2,1,1,1
EL212,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),98.43 %,96.67 %,100.00 %,2,1,1,1
EL213,4,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),99.40 %,100.00 %,100.00 %,1,0,1,0
EL214,15,34 St - Penn - 1/2/3 Line(s),90.06 %,88.18 %,91.48 %,4,1,3,0
EL215,20,34 St - Penn - 1/2/3 Line(s),92.29 %,91.26 %,97.50 %,10,2,8,0
EL216,16,34 St - Penn - 1/2/3 Line(s),99.26 %,99.93 %,100.00 %,1,1,0,0
EL217,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL218,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL219,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),99.00 %,99.77 %,98.33 %,2,0,2,0
EL220,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),98.42 %,100.00 %,100.00 %,2,1,1,0
EL221,17,14 St - 8 Av - A/C/E/L Line(s),87.21 %,89.29 %,84.81 %,5,0,5,1
EL222,17,14 St - 8 Av - A/C/E/L Line(s),99.44 %,100.00 %,97.71 %,3,0,3,1
EL223,17,14 St - 8 Av - A/C/E/L Line(s),100.00 %,100.00 %,100.00 %,1,0,1,0
EL224,17,14 St - 8 Av - A/C/E/L Line(s),82.84 %,84.42 %,82.03 %,16,1,15,1
EL225,17,34 St - Penn - A/C/E Line(s),77.39 %,79.12 %,75.41 %,10,1,9,1
EL226,17,34 St - Penn - A/C/E Line(s),100.00 %,100.00 %,100.00 %,3,0,3,0
EL227,17,34 St - Penn - A/C/E Line(s),99.33 %,100.00 %,100.00 %,1,1,0,0
EL228,17,34 St - Penn - A/C/E Line(s),92.23 %,95.79 %,95.83 %,12,1,11,1
EL229,16,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),93.67 %,95.28 %,93.36 %,4,0,4,1
EL230,16,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),97.91 %,100.00 %,97.53 %,2,1,1,0
EL231X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),99.18 %,100.00 %,96.67 %,,,,
EL232,13,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),87.08 %,89.86 %,86.67 %,2,0,2,0
EL233,13,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),98.05 %,99.63 %,100.00 %,4,1,3,1
EL234,10,47-50 St - Rockefeller Ctr - B/D/F/M Line(s),97.22 %,98.69 %,96.25 %,4,0,4,0
EL235,10,47-50 St - Rockefeller Ctr - B/D/F/M Line(s),93.66 %,96.67 %,93.33 %,2,1,1,0
EL236,10,47-50 St - Rockefeller Ctr - B/D/F/M Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL237,20,66 St - Lincoln Center - 1 Line(s),98.39 %,98.86 %,100.00 %,2,0,2,0
EL238,20,66 St - Lincoln Center - 1 Line(s),98.01 %,98.28 %,98.86 %,4,0,4,0
EL239,16,72 St - 1/2/3 Line(s),99.35 %,100.00 %,96.94 %,3,0,3,0
EL23X,,Chambers St/WTC/Park Place - A/C/E/2/3 Line(s),98.76 %,100.00 %,96.63 %,,,,
EL240,16,72 St - 1/2/3 Line(s),100.00 %,100.00 %,100.00 %,1,0,1,0
EL244,18,42 St - Grand Central - 4/5/6/7/S Line(s),99.85 %,100.00 %,100.00 %,3,1,2,0
EL245,14,Lexington Av / 51 St - E/M/6 Line(s),95.80 %,95.08 %,96.67 %,5,0,5,0
EL247,2,96 St / 2 Av - Q Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL248,2,96 St / 2 Av - Q Line(s),97.49 %,100.00 %,95.07 %,3,2,1,0
EL249,2,86 St / 2 Av - Q Line(s),99.36 %,100.00 %,100.00 %,1,1,0,0
EL250,2,86 St / 2 Av - Q Line(s),92.81 %,93.28 %,95.53 %,5,2,3,0
EL259,2,72 St / 2 Av - Q Line(s),99.06 %,100.00 %,100.00 %,1,1,0,0
EL262,2,72 St / 2 Av - Q Line(s),62.76 %,62.98 %,63.33 %,2,0,2,0
EL264,2,72 St / 2 Av - Q Line(s),96.39 %,93.97 %,100.00 %,7,4,3,0
EL265,2,72 St / 2 Av - Q Line(s),98.88 %,100.00 %,100.00 %,2,1,1,0
EL266,2,72 St / 2 Av - Q Line(s),99.05 %,100.00 %,98.40 %,2,1,1,0
EL267,2,72 St / 2 Av - Q Line(s),98.50 %,100.00 %,97.11 %,4,1,3,0
EL268X,,49 St - N/Q/R/W Line(s),95.29 %,98.78 %,93.33 %,,,,
EL276X,,59 St - Columbus Cir - 1/A/B/C/D Line(s),100.00 %,100.00 %,100.00 %,,,,
EL277,10,59 St - Columbus Cir - 1/A/B/C/D Line(s),97.94 %,96.67 %,96.98 %,3,1,2,1
EL278,10,59 St - Columbus Cir - 1/A/B/C/D Line(s),99.00 %,100.00 %,100.00 %,2,1,1,1
EL279,10,59 St - Columbus Cir - 1/A/B/C/D Line(s),99.70 %,100.00 %,100.00 %,1,1,0,0
EL279X,,28 St - 6 Line(s),92.04 %,93.89 %,87.98 %,,,,
EL280,9,59 St - Columbus Cir - 1/A/B/C/D Line(s),95.64 %,99.61 %,93.33 %,4,2,2,0
EL288X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),0.00 %,0.00 %,0.00 %,,,,
EL289X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL290X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),95.39 %,93.89 %,96.73 %,,,,
EL291X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),97.25 %,96.67 %,96.67 %,,,,
