EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL121,3,Pelham Bay Park - 6 Line(s),93.61 %,97.92 %,94.02 %,9,1,8,2
EL122,3,Pelham Bay Park - 6 Line(s),98.26 %,97.75 %,98.30 %,4,1,3,0
EL123,30,175 St - A Line(s),97.39 %,96.43 %,100.00 %,3,1,2,0
EL124,30,175 St - A Line(s),96.79 %,97.53 %,94.04 %,3,1,2,0
EL125,3,125 St - 4/5/6 Line(s),97.07 %,95.76 %,97.69 %,7,2,5,0
EL126,3,125 St - 4/5/6 Line(s),98.13 %,99.89 %,99.11 %,3,1,2,1
EL127,3,Simpson St - 2/5 Line(s),97.65 %,100.00 %,100.00 %,3,1,2,1
EL128,3,Simpson St - 2/5 Line(s),95.16 %,95.52 %,98.54 %,7,1,6,0
EL129,22,149 St - 3 Av - 2/5 Line(s),92.90 %,86.74 %,96.43 %,6,1,5,0
EL130,22,149 St - 3 Av - 2/5 Line(s),98.72 %,100.00 %,98.37 %,2,1,1,1
EL131,17,161 St - Yankee Stadium - 4/B/D Line(s),98.48 %,100.00 %,100.00 %,2,1,1,1
EL132,17,161 St - Yankee Stadium - 4/B/D Line(s),98.24 %,100.00 %,100.00 %,4,2,2,0
EL133,17,161 St - Yankee Stadium - 4/B/D Line(s),96.52 %,96.56 %,95.61 %,4,1,3,1
EL134,17,161 St - Yankee Stadium - 4/B/D Line(s),97.39 %,99.78 %,96.43 %,3,2,1,0
EL135,17,161 St - Yankee Stadium - 4/B/D Line(s),97.35 %,98.48 %,97.03 %,3,1,2,0
EL136,12,Pelham Pkwy - 2/5 Line(s),97.66 %,97.13 %,100.00 %,3,1,2,0
EL137,12,Pelham Pkwy - 2/5 Line(s),98.28 %,100.00 %,97.43 %,2,1,1,1
EL138,12,Pelham Pkwy - 2/5 Line(s),98.51 %,100.00 %,99.04 %,3,1,2,0
EL139,12,168 St - Washington Hts - 1/A/C Line(s),97.62 %,97.63 %,97.54 %,4,1,3,0
EL140,12,168 St - Washington Hts - 1/A/C Line(s),99.18 %,100.00 %,100.00 %,1,1,0,0
EL141,12,168 St - Washington Hts - 1/A/C Line(s),98.45 %,100.00 %,99.85 %,2,1,1,0
EL142,14,125 St - A/B/C/D Line(s),99.25 %,100.00 %,100.00 %,1,1,0,0
EL143,14,125 St - A/B/C/D Line(s),98.45 %,100.00 %,100.00 %,2,2,0,0
EL144,14,125 St - A/B/C/D Line(s),98.21 %,100.00 %,97.59 %,4,1,3,0
EL145,9,96 St - 1/2/3 Line(s),88.13 %,90.90 %,82.66 %,21,1,20,0
EL146,9,96 St - 1/2/3 Line(s),99.17 %,100.00 %,100.00 %,2,1,1,0
