EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL121,3,Pelham Bay Park - 6 Line(s),97.10 %,99.30 %,95.50 %,8,1,7,2
EL122,3,Pelham Bay Park - 6 Line(s),98.69 %,100.00 %,100.00 %,3,1,2,0
EL123,30,175 St - A Line(s),97.22 %,100.00 %,95.60 %,6,1,5,0
EL124,30,175 St - A Line(s),95.05 %,94.61 %,91.60 %,8,1,7,2
EL125,3,125 St - 4/5/6 Line(s),90.93 %,86.28 %,96.76 %,16,2,14,1
EL126,3,125 St - 4/5/6 Line(s),97.29 %,100.00 %,96.31 %,4,2,2,0
EL127,3,Simpson St - 2/5 Line(s),95.43 %,93.95 %,99.41 %,7,2,5,0
EL128,3,Simpson St - 2/5 Line(s),96.28 %,98.83 %,94.22 %,6,2,4,1
EL129,22,149 St - 3 Av - 2/5 Line(s),89.49 %,93.22 %,90.32 %,5,4,1,1
EL130,22,149 St - 3 Av - 2/5 Line(s),97.06 %,96.89 %,96.69 %,5,1,4,2
EL131,17,161 St - Yankee Stadium - 4/B/D Line(s),97.68 %,98.19 %,97.11 %,3,2,1,0
EL132,17,161 St - Yankee Stadium - 4/B/D Line(s),95.93 %,98.77 %,94.86 %,7,2,5,0
EL133,17,161 St - Yankee Stadium - 4/B/D Line(s),97.86 %,100.00 %,99.98 %,4,2,2,1
EL134,17,161 St - Yankee Stadium - 4/B/D Line(s),98.84 %,100.00 %,100.00 %,2,1,1,0
EL135,17,161 St - Yankee Stadium - 4/B/D Line(s),99.30 %,100.00 %,100.00 %,1,1,0,0
EL136,12,Pelham Pkwy - 2/5 Line(s),98.10 %,96.77 %,98.19 %,5,1,4,0
EL137,12,Pelham Pkwy - 2/5 Line(s),98.27 %,96.74 %,100.00 %,4,2,2,0
EL138,12,Pelham Pkwy - 2/5 Line(s),98.50 %,98.51 %,100.00 %,5,2,3,0
EL139,12,168 St - Washington Hts - 1/A/C Line(s),98.26 %,100.00 %,98.99 %,4,2,2,1
EL140,12,168 St - Washington Hts - 1/A/C Line(s),97.19 %,98.31 %,99.61 %,5,1,4,0
EL141,12,168 St - Washington Hts - 1/A/C Line(s),99.26 %,100.00 %,100.00 %,1,1,0,0
EL142,14,125 St - A/B/C/D Line(s),95.96 %,97.18 %,97.19 %,5,2,3,0
EL143,14,125 St - A/B/C/D Line(s),99.26 %,100.00 %,100.00 %,1,1,0,0
EL144,14,125 St - A/B/C/D Line(s),98.39 %,100.00 %,100.00 %,3,2,1,0
EL145,9,96 St - 1/2/3 Line(s),98.55 %,100.00 %,100.00 %,12,2,10,0
EL146,9,96 St - 1/2/3 Line(s),95.19 %,92.51 %,95.59 %,10,1,9,1
EL148,20,207 St - Inwood - A Line(s),98.79 %,100.00 %,97.22 %,2,1,1,0
EL149,20,207 St - Inwood - A Line(s),97.47 %,97.51 %,96.91 %,5,1,4,1
EL159,7,East 180 St - 2/5 Line(s),98.05 %,99.06 %,98.93 %,6,1,5,0
EL160,7,East 180 St - 2/5 Line(s),98.91 %,100.00 %,100.00 %,3,1,2,0
EL178,6,Dyckman St - 1 Line(s),83.61 %,87.08 %,82.29 %,21,2,19,4
EL180,11,135 St - 2/3 Line(s),98.51 %,97.86 %,97.58 %,3,1,2,1
EL181,11,135 St - 2/3 Line(s),85.58 %,79.72 %,93.16 %,14,2,12,0
EL182,12,Gun Hill Rd - 2/5 Line(s),90.47 %,88.49 %,90.85 %,10,1,9,1
EL183,12,Gun Hill Rd - 2/5 Line(s),95.39 %,96.40 %,93.16 %,7,1,6,3
EL184,13,231 St - 1 Line(s),97.91 %,97.49 %,98.79 %,5,1,4,1
EL185,13,231 St - 1 Line(s),99.24 %,100.00 %,100.00 %,1,1,0,0
EL186,14,Fordham Rd - 4 Line(s),98.39 %,97.65 %,100.00 %,2,1,1,0
EL187,14,Fordham Rd - 4 Line(s),98.19 %,100.00 %,97.62 %,4,1,3,0
EL188,14,Fordham Rd - 4 Line(s),97.54 %,95.65 %,98.09 %,4,1,3,0
EL189,5,Kingsbridge Road - D/B Line(s),92.63 %,90.98 %,94.09 %,7,1,6,1
EL18X,,Cortlandt St - R/W Line(s),74.77 %,74.60 %,74.11 %,,,,
EL190,5,Kingsbridge Road - D/B Line(s),99.19 %,100.00 %,100.00 %,1,1,0,0
EL191,5,Kingsbridge Road - D/B Line(s),99.26 %,100.00 %,100.00 %,2,1,1,0
EL192,12,233 St - 2/5 Line(s),92.04 %,90.18 %,93.28 %,8,2,6,2
EL193,12,233 St - 2/5 Line(s),97.31 %,95.04 %,98.17 %,5,1,4,1
EL194,12,233 St - 2/5 Line(s),98.44 %,99.46 %,97.58 %,3,1,2,1
EL195,5,Hunts Point - 6 Line(s),97.65 %,96.43 %,96.10 %,5,1,4,1
EL196,5,Hunts Point - 6 Line(s),98.74 %,100.00 %,100.00 %,2,1,1,0
EL197,5,Hunts Point - 6 Line(s),99.20 %,100.00 %,100.00 %,1,1,0,0
EL201,2,Lexington Av / 51 St - E/M/6 Line(s),98.24 %,99.15 %,99.69 %,4,1,3,1
EL202,2,Lexington Av / 51 St - E/M/6 Line(s),97.67 %,100.00 %,96.77 %,3,2,1,1
EL203X,,Lexington Av / 51 St - E/M/6 Line(s),71.26 %,79.90 %,66.67 %,,,,
EL204,29,42 St - Grand Central - 4/5/6/7/S Line(s),99.26 %,100.00 %,100.00 %,1,1,0,0
EL205,29,42 St - Grand Central - 4/5/6/7/S Line(s),99.01 %,100.00 %,100.00 %,2,1,1,0
EL206,29,42 St - Grand Central - 4/5/6/7/S Line(s),99.24 %,100.00 %,100.00 %,1,1,0,0
EL207X,,50 St - C/E Line(s),94.85 %,93.60 %,94.56 %,,,,
EL208X,,50 St - C/E Line(s),96.94 %,97.74 %,96.77 %,,,,
EL209,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),94.15 %,96.77 %,96.77 %,6,3,3,1
EL210,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),96.55 %,94.82 %,98.29 %,7,2,5,1
EL211,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),97.64 %,95.96 %,100.00 %,6,2,4,0
EL212,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),98.74 %,100.00 %,98.31 %,5,2,3,0
EL213,4,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),97.93 %,100.00 %,100.00 %,7,2,5,0
EL214,15,34 St - Penn - 1/2/3 Line(s),98.91 %,99.69 %,100.00 %,6,0,6,0
EL215,20,34 St - Penn - 1/2/3 Line(s),96.25 %,99.98 %,96.90 %,6,4,2,0
EL216,16,34 St - Penn - 1/2/3 Line(s),97.86 %,100.00 %,97.12 %,3,3,0,0
EL217,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),93.17 %,93.73 %,92.57 %,8,2,6,1
EL218,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),89.01 %,90.32 %,90.32 %,1,1,0,0
EL219,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),99.27 %,100.00 %,100.00 %,1,1,0,0
EL220,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),98.95 %,100.00 %,100.00 %,2,1,1,0
EL221,17,14 St - 8 Av - A/C/E/L Line(s),98.11 %,99.13 %,98.19 %,7,3,4,0
EL222,17,14 St - 8 Av - A/C/E/L Line(s),99.15 %,100.00 %,100.00 %,1,1,0,0
EL223,17,14 St - 8 Av - A/C/E/L Line(s),98.29 %,98.05 %,97.78 %,5,1,4,0
EL224,17,14 St - 8 Av - A/C/E/L Line(s),92.36 %,87.81 %,96.31 %,19,2,17,0
