EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL121,3,Pelham Bay Park - 6 Line(s),99.01 %,100.00 %,100.00 %,4,0,4,0
EL122,3,Pelham Bay Park - 6 Line(s),99.20 %,100.00 %,100.00 %,3,1,2,0
EL123,30,175 St - A Line(s),99.95 %,100.00 %,100.00 %,2,1,1,0
EL124,30,175 St - A Line(s),99.05 %,99.38 %,100.00 %,2,1,1,0
EL125,3,125 St - 4/5/6 Line(s),94.60 %,100.00 %,91.04 %,9,2,7,1
EL126,3,125 St - 4/5/6 Line(s),98.90 %,100.00 %,100.00 %,2,2,0,0
EL127,3,Simpson St - 2/5 Line(s),98.18 %,100.00 %,100.00 %,2,1,1,0
EL128,3,Simpson St - 2/5 Line(s),93.95 %,96.37 %,94.54 %,10,1,9,0
EL129,22,149 St - 3 Av - 2/5 Line(s),93.63 %,93.26 %,96.77 %,6,0,6,0
EL130,22,149 St - 3 Av - 2/5 Line(s),86.12 %,81.33 %,89.20 %,16,0,16,1
EL131,17,161 St - Yankee Stadium - 4/B/D Line(s),99.65 %,100.00 %,100.00 %,2,1,1,0
EL132,17,161 St - Yankee Stadium - 4/B/D Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL133,17,161 St - Yankee Stadium - 4/B/D Line(s),91.92 %,89.04 %,99.35 %,8,0,8,0
EL134,17,161 St - Yankee Stadium - 4/B/D Line(s),98.74 %,100.00 %,97.76 %,3,2,1,0
EL135,17,161 St - Yankee Stadium - 4/B/D Line(s),96.49 %,97.04 %,98.81 %,8,3,5,0
EL136,12,Pelham Pkwy - 2/5 Line(s),81.44 %,77.46 %,83.87 %,7,1,6,1
EL137,12,Pelham Pkwy - 2/5 Line(s),97.11 %,100.00 %,96.77 %,3,2,1,0
EL138,12,Pelham Pkwy - 2/5 Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL139,12,168 St - Washington Hts - 1/A/C Line(s),99.38 %,100.00 %,100.00 %,1,1,0,0
EL140,12,168 St - Washington Hts - 1/A/C Line(s),98.86 %,100.00 %,100.00 %,2,2,0,0
EL141,12,168 St - Washington Hts - 1/A/C Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL142,14,125 St - A/B/C/D Line(s),99.06 %,98.15 %,100.00 %,4,1,3,0
EL143,14,125 St - A/B/C/D Line(s),98.60 %,97.44 %,100.00 %,2,1,1,0
EL144,14,125 St - A/B/C/D Line(s),93.60 %,94.82 %,98.20 %,6,2,4,0
EL145,9,96 St - 1/2/3 Line(s),96.58 %,97.05 %,97.24 %,7,3,4,0
EL146,9,96 St - 1/2/3 Line(s),98.73 %,100.00 %,99.69 %,8,1,7,0
EL148,20,207 St - Inwood - A Line(s),98.78 %,100.00 %,98.28 %,4,3,1,0
EL149,20,207 St - Inwood - A Line(s),99.93 %,100.00 %,100.00 %,2,0,2,0
EL159,7,East 180 St - 2/5 Line(s),97.60 %,100.00 %,99.74 %,3,2,1,0
EL160,7,East 180 St - 2/5 Line(s),98.70 %,100.00 %,100.00 %,2,2,0,0
EL178,6,Dyckman St - 1 Line(s),99.14 %,99.49 %,100.00 %,2,1,1,0
EL180,11,135 St - 2/3 Line(s),98.82 %,95.31 %,100.00 %,2,0,2,1
EL181,11,135 St - 2/3 Line(s),99.69 %,100.00 %,98.17 %,2,0,2,0
EL182,12,Gun Hill Rd - 2/5 Line(s),97.55 %,98.65 %,99.60 %,4,1,3,0
EL183,12,Gun Hill Rd - 2/5 Line(s),97.09 %,100.00 %,96.44 %,5,2,3,0
EL184,13,231 St - 1 Line(s),96.95 %,96.77 %,97.52 %,5,0,5,0
EL185,13,231 St - 1 Line(s),98.98 %,100.00 %,96.84 %,1,0,1,0
EL186,14,Fordham Rd - 4 Line(s),98.74 %,100.00 %,100.00 %,2,2,0,0
EL187,14,Fordham Rd - 4 Line(s),97.74 %,97.31 %,100.00 %,3,2,1,0
EL188,14,Fordham Rd - 4 Line(s),83.88 %,87.10 %,83.40 %,9,2,7,3
EL189,5,Kingsbridge Road - D/B Line(s),96.77 %,100.00 %,98.40 %,4,0,4,1
EL18X,,Cortlandt St - R/W Line(s),96.31 %,97.78 %,96.77 %,,,,
EL190,5,Kingsbridge Road - D/B Line(s),99.26 %,100.00 %,100.00 %,2,1,1,0
EL191,5,Kingsbridge Road - D/B Line(s),99.11 %,100.00 %,99.38 %,1,0,1,0
EL192,12,233 St - 2/5 Line(s),99.32 %,97.76 %,100.00 %,1,0,1,0
EL193,12,233 St - 2/5 Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL194,12,233 St - 2/5 Line(s),94.60 %,89.65 %,100.00 %,6,1,5,0
EL195,5,Hunts Point - 6 Line(s),92.75 %,97.46 %,91.37 %,9,2,7,4
EL196,5,Hunts Point - 6 Line(s),98.74 %,100.00 %,99.80 %,3,2,1,0
EL197,5,Hunts Point - 6 Line(s),97.81 %,99.56 %,94.09 %,6,0,6,0
EL201,2,Lexington Av / 51 St - E/M/6 Line(s),97.88 %,98.85 %,97.38 %,4,2,2,0
EL202,2,Lexington Av / 51 St - E/M/6 Line(s),98.55 %,100.00 %,96.77 %,4,1,3,0
EL203X,,Lexington Av / 51 St - E/M/6 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL204,29,42 St - Grand Central - 4/5/6/7/S Line(s),80.69 %,85.27 %,76.19 %,9,1,8,0
EL205,29,42 St - Grand Central - 4/5/6/7/S Line(s),96.61 %,96.77 %,98.14 %,7,3,4,0
EL206,29,42 St - Grand Central - 4/5/6/7/S Line(s),98.74 %,100.00 %,100.00 %,3,3,0,0
EL207X,,50 St - C/E Line(s),99.08 %,98.55 %,97.92 %,,,,
EL208X,,50 St - C/E Line(s),88.63 %,87.10 %,87.85 %,,,,
EL209,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),98.51 %,98.24 %,100.00 %,2,1,1,1
EL210,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),97.63 %,98.56 %,100.00 %,3,1,2,0
EL211,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),99.59 %,100.00 %,100.00 %,2,2,0,0
EL212,26,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),99.57 %,100.00 %,100.00 %,1,0,1,0
EL213,4,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),96.87 %,95.49 %,100.00 %,5,4,1,0
EL214,15,34 St - Penn - 1/2/3 Line(s),98.99 %,100.00 %,98.37 %,1,0,1,1
EL215,20,34 St - Penn - 1/2/3 Line(s),92.55 %,87.65 %,95.58 %,11,2,9,0
EL216,16,34 St - Penn - 1/2/3 Line(s),98.91 %,99.02 %,98.47 %,2,0,2,0
EL217,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),98.94 %,100.00 %,97.94 %,2,1,1,1
EL218,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),99.38 %,100.00 %,100.00 %,1,1,0,0
EL219,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),93.01 %,90.66 %,93.55 %,7,1,6,1
EL220,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),98.69 %,100.00 %,97.98 %,2,1,1,0
EL221,17,14 St - 8 Av - A/C/E/L Line(s),93.26 %,94.53 %,91.60 %,12,1,11,2
EL222,17,14 St - 8 Av - A/C/E/L Line(s),98.94 %,100.00 %,100.00 %,3,2,1,1
EL223,17,14 St - 8 Av - A/C/E/L Line(s),98.26 %,100.00 %,97.19 %,4,2,2,0
EL224,17,14 St - 8 Av - A/C/E/L Line(s),68.09 %,67.66 %,70.69 %,12,1,11,4
EL225,17,34 St - Penn - A/C/E Line(s),99.33 %,100.00 %,99.40 %,1,0,1,0
EL226,17,34 St - Penn - A/C/E Line(s),96.47 %,96.91 %,99.90 %,5,2,3,0
EL227,17,34 St - Penn - A/C/E Line(s),97.44 %,99.70 %,94.56 %,6,2,4,0
EL228,17,34 St - Penn - A/C/E Line(s),95.56 %,99.17 %,92.40 %,8,1,7,0
EL229,16,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),94.92 %,98.40 %,93.55 %,4,1,3,0
EL230,16,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),98.59 %,100.00 %,100.00 %,2,2,0,0
EL231X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL232,13,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),94.72 %,96.77 %,96.77 %,5,2,3,1
EL233,13,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),98.00 %,97.81 %,100.00 %,3,1,2,0
EL234,10,47-50 St - Rockefeller Ctr - B/D/F/M Line(s),98.76 %,95.73 %,100.00 %,3,1,2,0
EL235,10,47-50 St - Rockefeller Ctr - B/D/F/M Line(s),98.78 %,99.15 %,100.00 %,3,2,1,0
EL236,10,47-50 St - Rockefeller Ctr - B/D/F/M Line(s),99.17 %,100.00 %,100.00 %,3,3,0,0
EL237,20,66 St - Lincoln Center - 1 Line(s),95.56 %,93.05 %,95.10 %,9,0,9,0
EL238,20,66 St - Lincoln Center - 1 Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL239,16,72 St - 1/2/3 Line(s),99.88 %,100.00 %,100.00 %,2,1,1,0
EL23X,,Chambers St/WTC/Park Place - A/C/E/2/3 Line(s),98.97 %,98.79 %,100.00 %,,,,
EL240,16,72 St - 1/2/3 Line(s),99.91 %,100.00 %,100.00 %,1,1,0,0
EL244,18,42 St - Grand Central - 4/5/6/7/S Line(s),93.94 %,95.23 %,95.56 %,3,1,2,0
EL245,14,Lexington Av / 51 St - E/M/6 Line(s),97.93 %,97.10 %,97.52 %,3,0,3,1
EL247,2,96 St / 2 Av - Q Line(s),99.05 %,100.00 %,99.40 %,2,1,1,0
EL248,2,96 St / 2 Av - Q Line(s),97.77 %,97.80 %,100.00 %,4,1,3,0
EL249,2,86 St / 2 Av - Q Line(s),99.71 %,98.28 %,100.00 %,1,0,1,0
EL250,2,86 St / 2 Av - Q Line(s),99.58 %,100.00 %,100.00 %,2,0,2,0
EL259,2,72 St / 2 Av - Q Line(s),98.88 %,100.00 %,99.53 %,4,1,3,0
EL262,2,72 St / 2 Av - Q Line(s),99.12 %,100.00 %,100.00 %,1,1,0,0
EL264,2,72 St / 2 Av - Q Line(s),98.86 %,99.09 %,100.00 %,2,1,1,0
EL265,2,72 St / 2 Av - Q Line(s),96.58 %,98.98 %,96.77 %,3,1,2,1
EL266,2,72 St / 2 Av - Q Line(s),98.82 %,99.44 %,100.00 %,1,1,0,0
EL267,2,72 St / 2 Av - Q Line(s),98.34 %,100.00 %,100.00 %,3,2,1,0
EL268X,,49 St - N/Q/R/W Line(s),82.20 %,82.26 %,79.57 %,,,,
EL276X,,59 St - Columbus Cir - 1/A/B/C/D Line(s),100.00 %,100.00 %,100.00 %,,,,
EL277,10,59 St - Columbus Cir - 1/A/B/C/D Line(s),94.08 %,93.55 %,94.13 %,8,3,5,0
EL278,10,59 St - Columbus Cir - 1/A/B/C/D Line(s),97.78 %,96.77 %,98.39 %,2,0,2,0
EL279,10,59 St - Columbus Cir - 1/A/B/C/D Line(s),98.18 %,100.00 %,96.77 %,2,1,1,1
EL279X,,28 St - 6 Line(s),96.67 %,96.77 %,95.87 %,,,,
EL280,9,59 St - Columbus Cir - 1/A/B/C/D Line(s),97.09 %,94.49 %,100.00 %,4,0,4,0
EL288X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),91.30 %,90.32 %,95.85 %,,,,
EL289X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),84.21 %,83.33 %,86.35 %,,,,
EL290X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),95.08 %,93.55 %,98.77 %,,,,
EL291X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),98.49 %,99.46 %,96.77 %,,,,
EL298,3,23 St - 6 Line(s),98.85 %,100.00 %,99.38 %,1,0,1,1
EL299,3,23 St - 6 Line(s),98.75 %,100.00 %,100.00 %,2,1,1,0
EL300X,,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),98.45 %,97.18 %,100.00 %,,,,
EL301,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),95.94 %,94.30 %,96.30 %,5,1,4,0
EL302,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),96.25 %,94.15 %,98.39 %,5,1,4,0
EL303,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),98.01 %,99.38 %,97.18 %,4,1,3,2
EL304,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),99.05 %,97.78 %,99.06 %,2,0,2,0
EL305,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),98.77 %,98.09 %,98.59 %,3,1,2,0
EL306,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),99.01 %,98.99 %,98.65 %,2,0,2,0
EL307,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),98.34 %,99.52 %,100.00 %,4,1,3,1
EL314,2,Brooklyn Bridge - City Hall - Chambers St - 4/5/6/J/Z Line(s),99.39 %,100.00 %,100.00 %,1,1,0,0
EL315,2,Brooklyn Bridge - City Hall - Chambers St - 4/5/6/J/Z Line(s),99.02 %,100.00 %,100.00 %,2,1,1,0
EL316,2,Brooklyn Bridge - City Hall - Chambers St - 4/5/6/J/Z Line(s),98.81 %,97.15 %,100.00 %,3,1,2,0
EL317,24,Borough Hall / Court St - 2/3/4/5/R Line(s),99.81 %,100.00 %,100.00 %,3,0,3,0
EL318,24,Borough Hall / Court St - 2/3/4/5/R Line(s),98.16 %,100.00 %,98.89 %,8,1,7,0
EL319,22,Flatbush Av Brooklyn College - 2/5 Line(s),98.36 %,100.00 %,99.14 %,2,0,2,0
EL320,21,Church Av - 2/5 Line(s),95.94 %,96.77 %,97.70 %,7,1,6,1
EL321,21,Church Av - 2/5 Line(s),99.40 %,100.00 %,100.00 %,3,1,2,0
EL322,15,Crown Hts - Utica Av - 3/4 Line(s),96.28 %,100.00 %,95.31 %,6,1,5,2
EL323,15,Crown Hts - Utica Av - 3/4 Line(s),98.02 %,100.00 %,96.77 %,4,1,3,1
EL324,18,Canal St - J/Z/N/Q/R/W/6 Line(s),99.17 %,100.00 %,99.81 %,2,1,1,0
EL325,18,Canal St - J/Z/N/Q/R/W/6 Line(s),99.23 %,99.33 %,99.09 %,4,0,4,0
EL326,1,Chambers St/WTC/Park Place - A/C/E/2/3 Line(s),95.85 %,97.52 %,97.44 %,10,1,9,0
EL328,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),94.36 %,96.23 %,93.57 %,11,2,9,0
EL329,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),98.72 %,100.00 %,100.00 %,6,3,3,0
EL330,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),98.88 %,100.00 %,100.00 %,3,1,2,0
EL331,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),97.58 %,100.00 %,93.77 %,5,1,4,1
EL332,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),97.58 %,96.51 %,100.00 %,6,1,5,0
EL333,14,West 4 St - Washington Sq - A/B/C/D/E/F/M Line(s),97.30 %,93.95 %,99.01 %,8,1,7,0
EL334,14,West 4 St - Washington Sq - A/B/C/D/E/F/M Line(s),96.65 %,100.00 %,95.18 %,8,1,7,0
EL335,14,West 4 St - Washington Sq - A/B/C/D/E/F/M Line(s),98.80 %,100.00 %,96.40 %,4,0,4,0
EL336,10,Chambers St - 1/2/3 Line(s),99.42 %,100.00 %,98.49 %,3,0,3,0
EL337,10,Chambers St - 1/2/3 Line(s),100.00 %,100.00 %,100.00 %,2,0,2,0
EL338,10,Chambers St - 1/2/3 Line(s),99.11 %,100.00 %,97.26 %,2,0,2,0
EL339,20,Franklin Av - C/S Line(s),90.28 %,96.03 %,87.57 %,13,3,10,2
EL340,20,Franklin Av - C/S Line(s),98.69 %,100.00 %,100.00 %,4,1,3,0
EL341,13,Euclid Av - A/C Line(s),97.25 %,99.62 %,96.77 %,4,1,3,1
EL342,13,Euclid Av - A/C Line(s),98.13 %,97.40 %,100.00 %,4,2,2,0
EL343,13,Euclid Av - A/C Line(s),98.85 %,100.00 %,100.00 %,3,1,2,0
EL344,5,Utica Av - A/C Line(s),97.17 %,100.00 %,94.42 %,6,1,5,2
EL345,5,Utica Av - A/C Line(s),98.74 %,100.00 %,100.00 %,5,1,4,0
EL346,5,Utica Av - A/C Line(s),99.02 %,100.00 %,100.00 %,4,1,3,0
EL34X,,34 St - Penn - 1/2/3 Line(s),99.84 %,99.60 %,99.86 %,,,,
EL370,14,Dekalb Av - B/Q/R Line(s),98.82 %,100.00 %,98.91 %,5,1,4,0
EL371,14,Dekalb Av - B/Q/R Line(s),99.23 %,100.00 %,100.00 %,3,1,2,0
EL372,14,Dekalb Av - B/Q/R Line(s),99.26 %,100.00 %,100.00 %,2,1,1,0
EL373,11,Church Av - F/G Line(s),98.98 %,100.00 %,100.00 %,3,2,1,0
EL374,11,Church Av - F/G Line(s),97.91 %,98.00 %,96.77 %,4,2,2,0
EL375,11,Church Av - F/G Line(s),99.83 %,100.00 %,100.00 %,0,0,0,0
EL376,7,Bay Parkway - D Line(s),98.56 %,96.77 %,98.21 %,3,0,3,1
EL377,7,Bay Parkway - D Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL378,7,Bay Parkway - D Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL382,16,Prospect Park - B/Q/S Line(s),99.40 %,100.00 %,99.45 %,3,1,2,0
EL383,16,Prospect Park - B/Q/S Line(s),99.27 %,100.00 %,100.00 %,1,1,0,0
EL391,15,Marcy Av - J/M/Z Line(s),98.17 %,99.60 %,100.00 %,4,2,2,0
EL392,15,Marcy Av - J/M/Z Line(s),99.45 %,99.42 %,100.00 %,2,1,1,0
EL393,16,Flushing Av - J/M Line(s),100.00 %,100.00 %,100.00 %,1,0,1,0
EL394,16,Flushing Av - J/M Line(s),95.89 %,97.74 %,93.90 %,14,0,14,0
EL395,16,Flushing Av - J/M Line(s),99.08 %,100.00 %,100.00 %,2,1,1,0
EL396,11,Myrtle Av / Wyckoff Av - L/M Line(s),98.68 %,100.00 %,97.93 %,2,0,2,0
