EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL107,20,181 St - 1 Line(s),99.38 %,100.00 %,100.00 %,4,2,2,0
EL108,20,181 St - 1 Line(s),85.31 %,85.98 %,83.89 %,40,3,37,3
EL109,20,181 St - 1 Line(s),97.91 %,97.98 %,100.00 %,6,1,5,0
EL110,20,181 St - 1 Line(s),98.11 %,96.67 %,100.00 %,5,2,3,0
EL117,17,181 St - A Line(s),97.42 %,100.00 %,94.93 %,9,4,5,0
EL118,15,181 St - A Line(s),97.14 %,99.98 %,97.17 %,10,6,4,0
EL119,34,181 St - A Line(s),94.19 %,98.26 %,98.17 %,11,6,5,0
EL115,18,190 St - A Line(s),98.01 %,95.93 %,99.57 %,7,1,6,1
EL116,14,190 St - A Line(s),97.54 %,94.15 %,99.06 %,11,1,10,2
EL120,34,190 St - A Line(s),99.88 %,100.00 %,100.00 %,3,1,2,0
EL103,15,191 St - 1 Line(s),98.42 %,99.48 %,97.46 %,7,3,4,0
EL104,15,191 St - 1 Line(s),94.69 %,91.55 %,96.63 %,11,4,7,0
EL105,17,191 St - 1 Line(s),99.11 %,100.00 %,100.00 %,5,2,3,0
EL106,17,191 St - 1 Line(s),98.39 %,100.00 %,99.58 %,9,1,8,0
EL200X,,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),99.77 %,100.00 %,98.61 %,,,,
EL287X,,42 St - Bryant Park - 5 Av - B/D/F/M/7 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL294X,,42 St - Bryant Park - 5 Av - B/D/F/M/7 Line(s),99.14 %,100.00 %,96.67 %,,,,
EL295X,,42 St - Bryant Park - 5 Av - B/D/F/M/7 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL281,10,57 St - 7 Av - N/Q/R/W Line(s),96.56 %,99.65 %,99.60 %,6,1,5,0
EL418X,,61 St - Woodside - 7 Line(s),99.18 %,98.33 %,99.58 %,,,,
EL419X,,61 St - Woodside - 7 Line(s),99.31 %,100.00 %,99.58 %,,,,
EL308,18,Borough Hall / Court St - 2/3/4/5/R Line(s),92.57 %,91.38 %,94.73 %,6,1,5,0
EL309,18,Borough Hall / Court St - 2/3/4/5/R Line(s),97.88 %,98.43 %,96.98 %,7,2,5,0
EL424,2,Briarwood - Van Wyck - E/F Line(s),97.08 %,96.67 %,100.00 %,2,2,0,0
EL310,19,Clark St - 2/3 Line(s),95.20 %,96.67 %,94.39 %,4,1,3,1
EL311,19,Clark St - 2/3 Line(s),96.77 %,99.18 %,95.83 %,11,0,11,0
EL312,19,Clark St - 2/3 Line(s),96.57 %,100.00 %,96.88 %,8,2,6,0
EL14X,,Cortlandt St - R/W Line(s),94.92 %,92.78 %,95.11 %,,,,
EL16X,,Cortlandt St - R/W Line(s),100.00 %,100.00 %,100.00 %,,,,
EL17X,,Cortlandt St - R/W Line(s),97.89 %,96.67 %,95.06 %,,,,
EL22X,,Cortlandt St - R/W Line(s),99.48 %,100.00 %,100.00 %,,,,
EL733X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL747X,,Hoyt-Schermerhorn St,91.59 %,89.36 %,93.13 %,,,,
EL327X,,Jay St - MetroTech - A/C/F/R Line(s),100.00 %,100.00 %,100.00 %,,,,
EL11X,,WTC Cortlandt - 1 Line(s),95.26 %,96.67 %,96.67 %,,,,
EL12X,,WTC Cortlandt - 1 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL13X,,WTC Cortlandt - 1 Line(s),100.00 %,100.00 %,100.00 %,,,,
