EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL107,20,181 St - 1 Line(s),98.45 %,97.74 %,97.99 %,5,1,4,0
EL108,20,181 St - 1 Line(s),95.76 %,90.79 %,98.59 %,11,1,10,0
EL109,20,181 St - 1 Line(s),98.42 %,98.63 %,96.86 %,6,0,6,0
EL110,20,181 St - 1 Line(s),97.56 %,99.40 %,97.77 %,18,2,16,0
EL117,17,181 St - A Line(s),99.37 %,99.39 %,100.00 %,5,4,1,0
EL118,15,181 St - A Line(s),99.66 %,100.00 %,100.00 %,4,1,3,0
EL119,34,181 St - A Line(s),83.22 %,83.29 %,81.68 %,9,1,8,0
EL115,18,190 St - A Line(s),97.78 %,97.48 %,98.21 %,7,3,4,0
EL116,14,190 St - A Line(s),97.29 %,100.00 %,99.57 %,12,3,9,1
EL120,34,190 St - A Line(s),97.61 %,99.46 %,99.02 %,9,4,5,0
EL103,15,191 St - 1 Line(s),96.14 %,97.84 %,92.86 %,4,4,0,0
EL104,15,191 St - 1 Line(s),93.75 %,95.24 %,92.86 %,4,2,2,0
EL105,17,191 St - 1 Line(s),96.76 %,98.90 %,96.43 %,4,2,2,0
EL106,17,191 St - 1 Line(s),89.90 %,88.88 %,87.08 %,25,3,22,0
EL200X,,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),100.00 %,100.00 %,100.00 %,,,,
EL287X,,42 St - Bryant Park - 5 Av - B/D/F/M/7 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL294X,,42 St - Bryant Park - 5 Av - B/D/F/M/7 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL295X,,42 St - Bryant Park - 5 Av - B/D/F/M/7 Line(s),93.75 %,94.54 %,89.29 %,,,,
EL281,10,57 St - 7 Av - N/Q/R/W Line(s),97.61 %,100.00 %,98.66 %,4,0,4,0
EL418X,,61 St - Woodside - 7 Line(s),99.34 %,100.00 %,100.00 %,,,,
EL419X,,61 St - Woodside - 7 Line(s),99.33 %,98.21 %,100.00 %,,,,
EL308,18,Borough Hall / Court St - 2/3/4/5/R Line(s),97.96 %,99.33 %,100.00 %,3,3,0,0
EL309,18,Borough Hall / Court St - 2/3/4/5/R Line(s),98.09 %,97.17 %,100.00 %,2,1,1,1
EL424,2,Briarwood - Van Wyck - E/F Line(s),92.60 %,87.57 %,96.43 %,9,1,8,0
EL310,19,Clark St - 2/3 Line(s),93.76 %,96.43 %,92.43 %,7,2,5,2
EL311,19,Clark St - 2/3 Line(s),96.60 %,100.00 %,98.37 %,9,6,3,0
EL312,19,Clark St - 2/3 Line(s),48.15 %,49.66 %,49.05 %,7,2,5,1
EL14X,,Cortlandt St - R/W Line(s),79.36 %,81.10 %,78.95 %,,,,
EL16X,,Cortlandt St - R/W Line(s),99.65 %,100.00 %,100.00 %,,,,
EL17X,,Cortlandt St - R/W Line(s),97.26 %,97.39 %,97.79 %,,,,
EL22X,,Cortlandt St - R/W Line(s),96.31 %,95.70 %,99.93 %,,,,
EL733X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL747X,,Hoyt-Schermerhorn St,100.00 %,100.00 %,100.00 %,,,,
EL327X,,Jay St - MetroTech - A/C/F/R Line(s),96.26 %,95.31 %,96.43 %,,,,
EL11X,,WTC Cortlandt - 1 Line(s),99.68 %,100.00 %,100.00 %,,,,
EL12X,,WTC Cortlandt - 1 Line(s),97.85 %,96.43 %,96.89 %,,,,
EL13X,,WTC Cortlandt - 1 Line(s),98.64 %,99.38 %,100.00 %,,,,
