Elevator_ID,Age,Location,Lines,X1st_Quarter_2019_24_Hour_Availability_,X1st_Quarter_2019_24_Hour_Availability_AM_Peak,X1st_Quarter_2019_24_Hour_Availability_PM_Peak,Non_Scheduled_Outages,Scheduled_Outages,Entrapments,Owner,s,Station_Code1,Station_Code2,match_id2,name_in_Rose_Data_set
EL182,12,Gun Hill Rd,25,89.02%,85.90%,91.97%,14,14,4,MTA,2,421,NA,Gun Hill Rd2,Gun Hill Rd
EL182,12,Gun Hill Rd,25,89.02%,85.90%,91.97%,14,14,4,MTA,5,421,NA,Gun Hill Rd5,Gun Hill Rd
EL129,22,3 Av-149 St,25,91.33%,89.43%,94.44%,3,20,1,MTA,2,434,NA,3 Ave-149 St2,3rd Ave - 149th St
EL129,22,3 Av-149 St,25,91.33%,89.43%,94.44%,3,20,1,MTA,5,434,NA,3 Ave-149 St5,3rd Ave - 149th St
EL189,4,Kingsbridge Rd,BD,91.52%,86.14%,96.36%,16,16,2,MTA,B,381,NA,Kingsbridge RdB,Kingsbridge Rd
EL189,4,Kingsbridge Rd,BD,91.52%,86.14%,96.36%,16,16,2,MTA,D,381,NA,Kingsbridge RdD,Kingsbridge Rd
EL192,11,233 St,25,94.32%,93.36%,94.77%,10,10,4,MTA,2,418,NA,233 St2,233rd St
EL192,11,233 St,25,94.32%,93.36%,94.77%,10,10,4,MTA,5,418,NA,233 St5,233rd St
EL121,3,Pelham Bay Park,6,95.62%,98.73%,95.42%,18,7,7,MTA,6,360,NA,Pelham Bay Park6,Pelham Bay Park
EL127,2,Simpson St,25,95.65%,97.92%,97.44%,13,4,2,MTA,2,430,NA,Simpson St2,Simpson St
EL127,2,Simpson St,25,95.65%,97.92%,97.44%,13,4,2,MTA,5,430,NA,Simpson St5,Simpson St
EL128,2,Simpson St,25,96.32%,98.20%,96.56%,13,4,2,MTA,2,430,NA,Simpson St2,Simpson St
EL128,2,Simpson St,25,96.32%,98.20%,96.56%,13,4,2,MTA,5,430,NA,Simpson St5,Simpson St
EL160,6,180 St,25,96.76%,97.86%,97.52%,4,3,2,MTA,2,426,NA,180 St2,E 180th St
EL160,6,180 St,25,96.76%,97.86%,97.52%,4,3,2,MTA,5,426,NA,180 St5,E 180th St
EL188,13,Fordham Rd,4,97.01%,95.42%,98.26%,11,3,0,MTA,4,382,NA,Fordham Rd4,Fordham Rd
EL122,3,Pelham Bay Park,6,97.35%,97.82%,98.36%,3,8,1,MTA,6,360,NA,Pelham Bay Park6,Pelham Bay Park
EL133,17,161 St-Yankee Stadium,4,97.36%,98.93%,97.17%,8,5,3,MTA,4,389,NA,161 St-Yankee Stadium4,161st St - Yankee Stadium
EL135,17,161 St-Yankee Stadium,BD,97.37%,97.43%,97.96%,1,5,0,MTA,B,219,NA,161 St-Yankee StadiumB,161st St - Yankee Stadium
EL135,17,161 St-Yankee Stadium,BD,97.37%,97.43%,97.96%,1,5,0,MTA,D,219,NA,161 St-Yankee StadiumD,161st St - Yankee Stadium
EL183,12,Gun Hill Rd,25,97.38%,98.55%,97.25%,6,7,3,MTA,2,421,NA,Gun Hill Rd2,Gun Hill Rd
EL183,12,Gun Hill Rd,25,97.38%,98.55%,97.25%,6,7,3,MTA,5,421,NA,Gun Hill Rd5,Gun Hill Rd
EL130,22,3 Av-149 St,25,97.54%,98.38%,97.10%,7,4,4,MTA,2,434,NA,3 Ave-149 St2,3rd Ave - 149th St
EL130,22,3 Av-149 St,25,97.54%,98.38%,97.10%,7,4,4,MTA,5,434,NA,3 Ave-149 St5,3rd Ave - 149th St
EL132,17,161 St-Yankee Stadium,4,97.59%,99.58%,96.57%,7,6,0,MTA,4,389,NA,161 St-Yankee Stadium4,161st St - Yankee Stadium
EL184,12,23 St,1,97.78%,97.10%,98.30%,10,2,2,MTA,1,228,NA,23 St1,23rd St
EL136,11,Pelham Pkwy,25,98.09%,97.99%,99.38%,6,6,1,MTA,2,424,NA,Pelham Pkwy2,Pelham Pkwy
EL136,11,Pelham Pkwy,25,98.09%,97.99%,99.38%,6,6,1,MTA,5,424,NA,Pelham Pkwy5,Pelham Pkwy
EL186,13,Fordham Rd,4,98.40%,98.47%,98.89%,4,3,0,MTA,4,382,NA,Fordham Rd4,Fordham Rd
EL195,4,Hunts Point Av,6,98.45%,97.58%,98.66%,9,2,1,MTA,6,371,NA,Hunts Point Ave6,Hunts Point Ave
EL137,11,Pelham Pkwy,25,98.45%,98.88%,99.20%,2,7,1,MTA,2,424,NA,Pelham Pkwy2,Pelham Pkwy
