"stationline","Station.Name"
"Gun Hill Rd: 2","Gun Hill Rd - 2/5"
"Gun Hill Rd: 5","Gun Hill Rd - 2/5"
"3rd Ave - 149th St: 2","149 St - 3 Av - 2/5"
"3rd Ave - 149th St: 5","149 St - 3 Av - 2/5"
"Kingsbridge Rd: B","Kingsbridge Road - D/B"
"Kingsbridge Rd: D","Kingsbridge Road - D/B"
"233rd St: 2","233 St - 2/5"
"233rd St: 5","233 St - 2/5"
"Pelham Bay Park: 6","Pelham Bay Park - 6"
"Simpson St: 2","Simpson St - 2/5"
"Simpson St: 5","Simpson St - 2/5"
"E 180th St: 2","East 180 St - 2/5"
"E 180th St: 5","East 180 St - 2/5"
"Fordham Rd: 4","Fordham Rd - 4"
"161st St - Yankee Stadium: 4","161 St - Yankee Stadium - 4/B/D"
"161st St - Yankee Stadium: B","161 St - Yankee Stadium - 4/B/D"
"161st St - Yankee Stadium: D","161 St - Yankee Stadium - 4/B/D"
"23rd St: 1","231 St - 1"
"Pelham Pkwy: 2","Pelham Pkwy - 2/5"
"Pelham Pkwy: 5","Pelham Pkwy - 2/5"
"Hunts Point Ave: 6","Hunts Point - 6"
"Lexington Ave - 63rd St: F","Lexington Av / 63 St - F/Q"
"Lexington Ave - 63rd St: Q","Lexington Av / 63 St - F/Q"
"34th St - Hudson Yards: 7","34 St - Hudson Yards - 7"
"Fulton St: 2","Fulton St - A/C/J/Z/2/3/4/5"
"Fulton St: 3","Fulton St - A/C/J/Z/2/3/4/5"
"Fulton St: 4","Fulton St - A/C/J/Z/2/3/4/5"
"Fulton St: 5","Fulton St - A/C/J/Z/2/3/4/5"
"Fulton St: A","Fulton St - A/C/J/Z/2/3/4/5"
"Fulton St: C","Fulton St - A/C/J/Z/2/3/4/5"
"Fulton St: J","Fulton St - A/C/J/Z/2/3/4/5"
"Fulton St: Z","Fulton St - A/C/J/Z/2/3/4/5"
"181st St: A","181 St - A"
"79th St: 1","191 St - 1"
